ID,Sponsor Award Number,Account,Sponsor,sponsorNameNotAsLink(),Prime Sponsor,primeSponsorNotAsLink(),PI Last,PI First,Lead Financial Unit Code,Lead Financial Unit,leadFinancialUnitNotAsLink(),Short Title,AMT GCO,Obligated,Anticipated,Award Start Date,Obligated End Date,Award End Date (Anticipated),Teams,Status,Authorized Total,Awarded Total,Proposed Total
AWD00006530,N0001492J1425-P00002,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[C29A636A035B664D83BC2D978A4DE2DF]]'>GR01651</a> ,US Department of Defense (DOD),US Department of Defense (DOD),,,Dow,John,B1717,CLAS-NS: Physics,CLAS-NS: Physics,SEMICONDUCTOR STRUCTURES; SURFACE BULK,Taylor,"$165,000","$165,000",4/1/1992,2/14/1994,2/14/1994,Team 3,Closed,"$165,000","$165,000","$165,000"
AWD00006575,CHE9204999-002,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[84B511725AD0CA40BFD064D8661DF98E]]'>GR18342</a> ,National Science Foundation (NSF),National Science Foundation (NSF),,,Balasubramanian,Krishnan,B1715,"CLAS-NS: Molecular Sciences, School of (SMS)","CLAS-NS: Molecular Sciences, School of (SMS)",ELECTRONIC STRUC OF SEMICONDUCTOR & HEAVY MAIN GROUP CLUS,Taylor,"$132,100","$132,100",5/1/1992,10/31/1995,10/31/1995,Team 3,Closed,"$132,100","$132,100","$132,100"
AWD00006760,ECS9202664-002,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[AF320E499B1DF3498D704BBBFC3B09C7]]'>GR07383</a> ,National Science Foundation (NSF),National Science Foundation (NSF),,,Skromme,Brian,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,2-4 COMPOUND SEMICONDUCTOR BASED VISIBLE LIGHT EMITTING DE,Stewart,"$435,000","$435,000",8/14/1992,2/28/1996,2/28/1996,Team 1,Closed,"$435,000","$435,000","$435,000"
AWD00007003,CERTIFICATE 121892,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[A31A4A864E066A4AA6D0A038BDC54A2F]]'>GR09071</a> ,New Energy and Industrial Technology Development Organization (NEDO),New Energy and Industrial Technology Development Organization (NEDO),,,Ferry,David,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,PHYSICS OF SEMICONDUCTOR NANOSTRUCTURES,Stewart,"$366,645","$366,645",2/1/1993,4/30/1996,4/30/1996,Team 1,Closed,"$366,645","$366,645","$366,645"
AWD00007382,F496209410163-P00003,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[558EBD0EAB6DD445BBBC8D1DE73D6509]]'>GR01657</a> ,DOD: Air Force (USAF),DOD: Air Force (USAF),,,Dow,John,B1717,CLAS-NS: Physics,CLAS-NS: Physics,NOVEL SEMICONDUCTORS,Taylor,"$262,696","$262,696",10/1/1993,3/14/1997,3/14/1997,Team 3,Closed,"$262,696","$262,696","$262,696"
AWD00007428,N000149410147,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[916E4850DEE7C344A5630ADA233313D1]]'>GR01654</a> ,DOD-NAVY: Office of Naval Research (ONR),DOD-NAVY: Office of Naval Research (ONR),,,Dow,John,B1717,CLAS-NS: Physics,CLAS-NS: Physics,DEVELOPMENT OF A SUPERCONDUCTING SEMICONDUCTOR (OLD TITLE: PHYSICS AT INTERFACES),Taylor,"$1,041,728","$1,041,728",12/1/1993,12/14/2003,12/14/2003,Team 3,Closed,"$1,041,728","$1,041,728","$1,041,728"
AWD00007467,N0001490J1304-P00005,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[849F0693CC4F0C4FA6A3311DB341FA8A]]'>GR01660</a> ,US Department of Defense (DOD),US Department of Defense (DOD),,,Sankey,Otto,B1717,CLAS-NS: Physics,CLAS-NS: Physics,ELECTRONIC STRUCTURE & MOLECULAR DYNAMICS SIMULATIONS OF VERY LARGE SEMICONDUCTOR SYSTEMS,Taylor,"$224,672","$224,672",1/1/1994,10/14/1996,10/14/1996,Team 3,Closed,"$224,672","$224,672","$224,672"
AWD00007844,DMS9496342,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[0D7BE1AC6790DD4DA421C0DBFEA69C06]]'>GR23594</a> ,National Science Foundation (NSF),National Science Foundation (NSF),,,Gardner,Carl,B1716001,"CLAS-NS: Mathematical and Statistical Sciences, School of (SoMSS)","CLAS-NS: Mathematical and Statistical Sciences, School of (SoMSS)",HYDRODYNAMIC MODEL FOR SEMICONDUCTOR,Taylor,"$30,099","$30,099",9/1/1994,10/31/1996,10/31/1996,Team 3,Closed,"$30,099","$30,099","$30,099"
AWD00008045,LTR 10/22/96,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[F806B86713BAB54AA6CAD2D02CACBA65]]'>GR09101</a> ,Intel Corporation,Intel Corporation,,,Tsakalis,Konstantinos,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,A CONTROL-THEORETIC APPROACH TO SCHEDULING OF SEMICONDUCTOR,Stewart,"$111,000","$111,000",1/1/1995,12/31/1998,12/31/1998,Team 1,Closed,"$111,000","$111,000","$111,000"
AWD00008104,CHE9417459-002,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[9311F6362C52FA46ACD097E2D7D50484]]'>GR17389</a> ,National Science Foundation (NSF),National Science Foundation (NSF),,,Balasubramanian,Krishnan,B1715,"CLAS-NS: Molecular Sciences, School of (SMS)","CLAS-NS: Molecular Sciences, School of (SMS)",ELECTRONIC STRUCTURE OF SEMICONDUCTOR & MAIN GROUP CLUSTER,Taylor,"$139,003","$139,003",2/15/1995,1/31/1998,1/31/1998,Team 3,Closed,"$139,003","$139,003","$139,003"
